frp,hcho
2.36,0.00010111027595251148
0.66,0.00010111027595251148
8.57,7.537917083021275e-05
4.91,7.537917083021275e-05
4.91,7.537917083021275e-05
4.91,7.537917083021275e-05
2.36,0.00010111027595251148
0.66,0.00010111027595251148
8.57,7.537917083021275e-05
4.91,7.537917083021275e-05
4.91,7.537917083021275e-05
4.91,7.537917083021275e-05
2.36,7.537917083021275e-05
0.66,0.00010111027595251148
4.91,7.537917083021275e-05
4.91,7.537917083021275e-05
4.91,7.537917083021275e-05
4.91,7.537917083021275e-05
10.21,0.0002318569825224336
10.21,0.0002318569825224336
10.21,0.0002318569825224336
10.21,0.0002318569825224336
10.21,0.0002318569825224336
10.21,0.0002318569825224336
1.03,0.00013256697372878625
1.03,0.00013256697372878625
1.03,0.00013256697372878625
1.03,0.00013256697372878625
1.03,0.00013256697372878625
1.03,0.00013256697372878625
2.57,0.00012931100907488996
2.57,0.00012931100907488996
2.96,0.00012931100907488996
2.57,0.00012931100907488996
2.57,0.00012931100907488996
2.96,0.00012931100907488996
2.57,0.00012822823113363603
2.57,0.00012822823113363603
2.96,0.00012822823113363603
0.59,0.0001748174832258443
0.99,0.0001802713717147117
0.99,0.0001802713717147117
0.99,0.0001802713717147117
0.59,0.0001748174832258443
0.99,0.0001748174832258443
0.99,0.0001802713717147117
0.99,0.0001802713717147117
0.59,0.0001748174832258443
0.99,0.0001748174832258443
0.99,0.0001748174832258443
0.99,0.0001802713717147117
0.59,0.0001748174832258443
0.59,0.0001748174832258443
0.59,0.0001748174832258443
0.99,0.0002043820948423058
0.99,0.0002043820948423058
0.99,0.0002043820948423058
1.49,0.0002043820948423058
0.99,0.0002043820948423058
0.99,0.0002043820948423058
0.99,0.0002043820948423058
1.49,0.0002043820948423058
1.66,0.0002043820948423058
0.99,0.0002043820948423058
0.99,0.0002043820948423058
1.13,0.0002043820948423058
1.49,0.0002043820948423058
1.66,0.0002043820948423058
0.99,0.0002043820948423058
0.99,0.0002043820948423058
1.13,0.0002043820948423058
0.43,0.0002043820948423058
0.43,0.0002043820948423058
0.43,0.0002043820948423058
1.66,0.0002043820948423058
0.99,0.0002043820948423058
0.99,0.0002043820948423058
1.13,0.0002043820948423058
0.91,0.0002043820948423058
0.91,0.0002043820948423058
0.91,0.0002043820948423058
0.82,0.0002043820948423058
0.91,0.0002043820948423058
0.91,0.0002043820948423058
0.91,0.0002043820948423058
0.82,0.0002043820948423058
0.91,0.0002043820948423058
0.91,0.0002043820948423058
0.91,0.0002043820948423058
0.82,0.0002043820948423058
0.82,0.0002043820948423058
0.82,0.0002043820948423058
0.82,0.0002043820948423058
0.57,0.00020065831477693416
0.57,0.00020065831477693416
0.57,0.00020065831477693416
0.57,0.00020065831477693416
0.57,0.00020065831477693416
0.57,0.00020065831477693416
0.57,0.00020065831477693416
0.57,0.00020065831477693416
0.57,0.00020065831477693416
0.57,0.00020065831477693416
0.57,0.00020065831477693416
0.57,0.00020065831477693416
0.73,0.000203007203905604
0.73,0.000203007203905604
0.73,0.000203007203905604
0.73,0.000203007203905604
0.73,0.000203007203905604
0.73,0.000203007203905604
0.73,0.000203007203905604
0.73,0.000203007203905604
0.73,0.000203007203905604
0.73,0.000203007203905604
0.73,0.000203007203905604
0.73,0.000203007203905604
0.66,0.0002037230781627711
0.66,0.0002037230781627711
0.66,0.0002037230781627711
0.66,0.0002037230781627711
0.66,0.0002037230781627711
0.66,0.0002037230781627711
0.66,0.0002037230781627711
0.66,0.0002037230781627711
0.66,0.0002037230781627711
8.22,0.0001970336813080866
8.22,0.0001970336813080866
8.22,0.0001970336813080866
8.22,0.0001970336813080866
8.22,0.0001970336813080866
8.22,0.0001970336813080866
8.22,0.0001970336813080866
8.22,0.0001970336813080866
8.22,0.0001970336813080866
0.35,0.0002033437408871809
0.35,0.0002033437408871809
0.35,0.0001831089854212243
0.35,0.0002033437408871809
0.35,0.0002033437408871809
0.35,0.0001831089854212243
0.35,0.0002033437408871809
0.35,0.0002033437408871809
0.35,0.0002033437408871809
0.35,0.0002033437408871809
0.35,0.0002033437408871809
0.35,0.0002033437408871809
0.59,0.0002357078229307792
0.59,0.0002357078229307792
0.59,0.0002357078229307792
0.59,0.0002357078229307792
0.59,0.0002357078229307792
0.59,0.0002357078229307792
0.59,0.0002357078229307792
0.59,0.0002357078229307792
0.53,0.0002357078229307792
0.53,0.0002357078229307792
1.03,0.000218411364794575
1.03,0.000218411364794575
1.03,0.000218411364794575
1.03,0.000218411364794575
1.03,0.000218411364794575
1.03,0.000218411364794575
3.75,0.00021841373762983567
3.75,0.00021841373762983567
3.75,0.00021841373762983567
3.75,0.00021841373762983567
3.75,0.00021841373762983567
3.75,0.00021841373762983567
3.75,0.00021841373762983567
3.75,0.00021841373762983567
3.75,0.00021841373762983567
1.58,0.00021913611603793684
1.58,0.00021913611603793684
1.58,0.00021913611603793684
1.58,0.00021913611603793684
1.7,0.00022156092473014116
1.7,0.00022156092473014116
1.7,0.00022156092473014116
1.7,0.00022156092473014116
1.7,0.00022156092473014116
1.7,0.00022156092473014116
3.17,0.00011353006011852376
3.17,0.00011353006011852376
3.17,0.00011353006011852376
3.17,0.00011353006011852376
3.17,0.00011353006011852376
3.17,0.00011353006011852376
3.17,0.00011353006011852376
3.17,0.00011353006011852376
3.17,0.00011353006011852376
